@RELATION results
@ATTRIBUTE symbol {accident,bomb,car,casualty,electricity,fire,firebrigade,flood,gas,injury,paramedics,person,police,roadblock}
@ATTRIBUTE size {small,medium,large}
@ATTRIBUTE mean_gray NUMERIC
@ATTRIBUTE center_of_mass_X NUMERIC
@ATTRIBUTE center_of_mass_Y NUMERIC
@DATA
accident,medium,250.159781,80.135364,133.378384
accident,medium,250.488514,83.588521,119.223087
accident,medium,249.408957,124.911641,159.032262
accident,medium,250.215160,107.512125,154.408960
accident,medium,249.748768,89.807764,168.279405
accident,medium,249.628874,114.703169,133.753941
accident,medium,248.099121,90.192362,148.981618
accident,medium,250.043160,100.371394,145.794934
accident,medium,249.985327,114.352850,154.381038
accident,medium,250.282079,106.805891,126.250477
accident,medium,249.040701,96.568932,148.119240
accident,medium,250.120154,81.225078,166.762850
accident,medium,252.198649,140.284838,126.805635
accident,medium,252.305289,121.060919,115.514124
accident,medium,251.799816,127.666667,129.022062
accident,medium,250.828133,127.654815,113.005432
accident,medium,251.730935,126.617232,133.711864
accident,medium,251.393193,121.652889,119.206222
accident,medium,252.584319,130.395257,114.624506
accident,medium,252.905553,101.837286,118.493083
accident,medium,252.374550,141.044907,111.929901
accident,medium,251.481987,147.577669,114.852307
accident,small,254.107267,129.137153,113.790799
accident,small,254.313232,116.358714,107.389171
accident,small,253.984778,115.665272,105.184100
accident,small,253.698980,129.769751,101.906633
accident,small,253.149660,139.012882,110.041063
accident,large,247.501749,135.804760,91.229549
accident,large,248.716659,151.817795,115.649472
accident,large,248.969363,166.471993,93.694368
accident,large,248.211136,109.444626,82.915166
accident,large,244.637272,117.344171,85.406097
accident,medium,252.684676,155.905612,124.198129
accident,medium,252.402348,128.038001,137.809789
accident,medium,251.512093,127.874223,113.664148
accident,medium,251.397833,132.288627,127.001307
accident,medium,251.477687,118.659117,119.441638
accident,medium,252.244304,117.493347,138.830813
accident,medium,251.251588,135.135468,127.773418
accident,medium,251.014073,104.334042,126.032784
accident,medium,251.202311,117.925803,128.433278
accident,medium,251.221359,130.733791,108.815217
accident,small,253.394169,131.265324,107.322595
accident,small,253.154979,127.278177,103.993834
accident,small,253.261052,114.701674,119.386606
accident,small,253.296431,125.532733,113.213814
accident,small,252.486664,119.837870,94.055227
accident,medium,251.404358,115.988771,112.971850
accident,medium,250.781124,131.455362,113.802676
accident,medium,251.530671,129.115334,125.596112
accident,medium,251.112805,125.038293,110.450036
accident,medium,250.969581,118.186269,112.701270
accident,medium,251.429659,127.306776,131.516513
accident,medium,251.864754,121.552956,114.799261
accident,medium,252.085048,123.157353,126.896121
accident,medium,251.761427,131.205687,124.505812
accident,medium,251.838843,113.454051,113.795360
accident,large,248.054458,182.103803,92.633436
accident,large,248.200516,144.277595,129.127307
accident,large,245.358107,136.019573,139.406216
accident,large,247.654567,122.383112,119.036908
accident,large,248.485261,185.470341,111.718316
accident,medium,251.384696,131.536781,150.720184
accident,medium,251.295099,131.076095,133.840139
accident,medium,251.556369,128.687500,110.656667
accident,medium,250.896454,120.536048,122.979828
accident,medium,251.795942,124.018384,105.877905
accident,medium,249.556860,103.156720,114.996659
accident,medium,247.947975,105.648806,128.655319
accident,medium,247.490893,106.375127,129.352135
accident,medium,248.144886,97.906055,119.958630
accident,medium,248.883701,101.268809,120.666310
accident,large,244.672697,89.609234,165.007674
accident,large,244.751316,94.998994,149.321121
accident,large,245.534052,103.935844,136.973258
accident,large,245.462565,120.535064,132.284918
accident,large,246.492659,115.796647,124.861825
accident,medium,248.555328,93.473760,146.989866
accident,medium,249.209218,107.891086,167.003139
accident,medium,248.984403,113.189912,130.965291
accident,medium,247.992693,100.836498,123.038788
accident,medium,247.404878,172.578560,109.364157
accident,medium,251.797056,112.834598,124.968866
accident,medium,249.766024,97.547736,139.910445
accident,medium,250.927191,114.453611,120.064323
accident,medium,249.715114,166.883732,97.196906
accident,medium,249.416276,107.967596,131.001467
accident,medium,247.714286,105.058593,143.593982
accident,medium,247.731348,102.478529,116.064337
accident,medium,248.123787,76.288603,104.514400
accident,medium,249.491289,85.393013,101.657751
accident,medium,249.569839,112.969530,94.658631
accident,medium,250.735192,83.304648,158.450199
accident,medium,251.267564,74.923152,145.418182
accident,medium,252.248662,78.582633,90.765640
accident,medium,250.269786,116.198258,129.597096
accident,medium,248.183506,106.298246,138.647474
accident,medium,247.604035,88.236515,146.892270
accident,medium,250.224318,129.878171,95.440383
accident,medium,248.678111,108.266229,128.903840
accident,medium,248.661535,124.997318,115.474641
accident,medium,248.451105,118.382306,154.417259
accident,medium,249.910536,103.189701,132.242472
accident,medium,248.750924,123.572094,112.785362
accident,medium,248.519635,93.740501,122.825561
accident,medium,249.389746,99.574117,146.257611
accident,medium,248.878301,89.685393,143.887640
accident,large,248.691428,148.133277,114.315451
accident,large,246.682175,70.971881,156.823790
accident,large,248.121189,90.410347,150.799766
accident,large,247.671681,89.152508,156.145475
accident,large,247.487403,132.705514,147.008907
accident,small,252.107799,89.307544,113.081238
accident,small,252.208814,92.750486,117.091351
accident,small,251.706279,98.325509,140.360720
accident,small,252.034686,86.196057,136.240599
accident,small,251.087487,98.415504,125.585530
accident,small,252.884346,95.571859,93.311889
accident,small,253.017355,108.080220,99.662637
accident,small,252.673295,80.155003,96.536547
accident,small,252.531737,122.221003,101.490304
accident,small,251.453574,103.038308,145.327044
accident,medium,248.704018,88.881715,112.454247
accident,medium,248.588165,123.405070,130.716683
accident,medium,249.461922,133.465410,137.146079
accident,medium,248.814821,127.240003,134.652548
accident,medium,250.071342,128.966805,111.451936
accident,small,252.622121,102.543565,150.216627
accident,small,252.592885,96.047572,149.842648
accident,small,252.598444,104.450172,135.573883
accident,small,252.589913,101.156615,153.162127
accident,small,252.931252,81.854919,141.655343
accident,medium,250.806927,120.210972,135.484092
accident,medium,251.380700,98.556068,136.910906
accident,medium,251.946133,102.341261,151.971578
accident,medium,251.894614,114.975194,135.760078
accident,medium,252.088393,91.309064,145.080756
accident,medium,250.549029,104.765504,104.764643
accident,medium,251.466424,106.905419,134.128740
accident,medium,251.372195,101.247146,133.760131
accident,medium,250.407587,97.851735,134.462020
accident,medium,250.755354,98.206154,137.264615
accident,medium,249.948770,108.916067,129.069864
accident,medium,249.778873,100.641482,142.548914
accident,medium,250.151505,111.932218,134.187732
accident,medium,251.546132,111.085063,142.151180
accident,medium,250.588383,105.670094,145.068912
accident,large,246.571926,72.346672,159.416314
accident,large,245.842683,122.375995,153.744050
accident,large,246.008029,116.839454,136.974651
accident,large,245.789199,130.095770,152.990305
accident,large,247.821366,102.238494,154.615570
accident,medium,250.922048,114.511129,146.334512
accident,medium,250.725443,103.322280,152.609349
accident,medium,250.303530,105.354979,150.513783
accident,medium,250.309876,91.963294,150.598431
accident,medium,249.667512,89.776529,154.590512
accident,small,252.278430,115.798059,156.383427
accident,small,251.305657,87.266667,158.233333
accident,small,252.223238,109.668062,158.210979
accident,small,252.092596,92.526376,173.242372
accident,small,252.970615,101.611648,165.900161
accident,large,242.326027,93.283653,156.379426
accident,large,242.531829,149.662224,101.874714
accident,large,243.780674,95.775901,145.811387
accident,large,244.216460,144.081672,91.443245
accident,large,245.095375,136.085521,119.316860
accident,medium,248.376899,112.975751,151.438320
accident,medium,247.904791,120.855548,135.582080
accident,medium,246.764721,125.939513,144.802349
accident,medium,249.941547,102.372549,104.185458
accident,medium,248.103323,101.198997,154.923163
accident,medium,250.057193,114.781201,160.081227
accident,medium,250.163339,117.195851,151.820257
accident,medium,250.344635,97.814139,152.795162
accident,medium,250.329229,119.865557,144.956815
accident,medium,249.371493,71.192810,132.152288
accident,medium,252.254472,83.450317,98.027132
accident,medium,252.361429,136.047093,108.357616
accident,medium,253.013514,118.494925,108.618352
accident,medium,253.535147,150.621192,116.404623
accident,medium,252.716302,129.722769,135.360994
accident,medium,251.459400,99.681843,109.377236
accident,medium,251.048621,105.750123,132.976436
accident,medium,251.192735,101.697776,131.224240
accident,medium,251.228116,111.431714,105.165006
accident,medium,251.175390,102.427340,134.463704
accident,small,253.571010,91.778646,124.746528
accident,small,253.249595,84.647737,139.266667
accident,small,253.453996,74.225806,122.866359
accident,small,253.323603,102.862969,123.997825
accident,small,252.426205,108.853343,115.481233
accident,medium,252.538725,91.507254,145.136589
accident,medium,253.259666,96.542470,128.418986
accident,medium,252.542803,124.981181,135.598599
accident,medium,251.894755,100.462729,141.012658
accident,medium,251.934241,130.086022,139.568256
accident,large,250.530788,91.858987,114.114017
accident,large,249.208962,78.320913,137.208767
accident,large,249.323012,108.535931,133.814224
accident,large,248.566641,106.763477,145.750910
accident,large,249.843774,123.667923,155.570454
accident,medium,252.807877,91.188564,121.187348
accident,medium,251.980348,114.108146,133.036281
accident,medium,251.761905,93.553140,115.906280
accident,medium,251.885996,91.955752,176.558997
accident,medium,251.694128,105.912673,130.335463
accident,large,250.567999,106.673925,142.995613
accident,large,248.941218,116.493380,121.909949
accident,large,249.972425,106.080000,93.952982
accident,large,248.638978,123.572872,151.104769
accident,large,249.874503,111.066287,118.104888
accident,medium,251.903250,85.455429,127.950570
accident,medium,252.079792,115.676203,107.933015
accident,medium,251.549561,126.127634,109.273931
accident,medium,251.421008,106.655243,106.828845
accident,medium,251.804153,117.559796,140.204198
accident,small,253.589564,94.127854,139.240378
accident,small,253.607985,109.059102,133.624841
accident,small,251.427876,70.593635,118.079967
accident,small,253.236955,93.181070,110.969854
accident,small,253.172182,126.039607,122.584998
accident,medium,248.776430,128.710729,134.623917
accident,medium,249.563075,104.301980,146.284129
accident,medium,251.590634,130.663413,139.746604
accident,medium,251.129326,127.434081,141.176833
accident,medium,251.589506,133.019478,125.191057
accident,medium,250.416084,105.267008,143.709217
accident,medium,251.280361,124.014829,120.027360
accident,medium,252.078910,116.490553,158.431016
accident,medium,251.649079,118.553165,124.896742
accident,medium,251.380761,108.820789,136.279570
accident,medium,248.091207,133.624722,111.626696
accident,medium,248.819824,111.973904,131.010621
accident,medium,248.556876,116.161799,135.328968
accident,medium,249.573192,139.274876,147.116695
accident,medium,249.835137,124.175269,125.782975
accident,large,242.777639,149.366505,167.077964
accident,large,243.961057,127.958517,104.716627
accident,large,244.295436,135.188422,158.018123
accident,large,243.152683,107.625377,123.347132
accident,large,244.895434,159.715447,130.905842
accident,small,251.318752,122.439537,135.225026
accident,small,251.226505,157.854586,145.613199
accident,small,252.299130,116.019239,119.068904
accident,small,251.427239,134.311979,141.531250
accident,small,251.372134,125.723584,145.906564
accident,medium,248.537338,156.584340,108.024673
accident,medium,249.381700,135.379504,153.709061
accident,medium,248.444597,117.890054,138.365535
accident,medium,247.932729,83.387060,144.627460
accident,medium,247.936180,151.719216,123.486721
accident,medium,248.318216,151.103653,134.802605
accident,medium,247.919998,179.011136,160.062361
accident,medium,248.414368,127.068388,159.392289
accident,medium,247.470144,141.890695,137.981112
accident,medium,249.714220,135.216583,169.020922
accident,medium,249.420542,131.826751,150.823620
accident,medium,249.305809,149.856861,134.184775
accident,medium,249.928783,132.516619,166.852765
accident,medium,249.579168,117.777600,152.592311
accident,medium,249.667423,128.181760,155.277350
accident,medium,248.925524,154.400870,177.714378
accident,medium,248.944546,140.973592,106.563967
accident,medium,249.062135,150.788202,119.930585
accident,medium,248.331066,149.633827,165.172073
accident,medium,249.252147,117.593438,155.119232
accident,medium,246.634799,127.627241,162.881542
accident,medium,247.628303,145.973089,151.936975
accident,medium,246.067238,131.509285,85.548747
accident,medium,246.652300,169.002102,128.311784
accident,medium,247.112284,157.709366,158.212216
accident,medium,248.403880,119.975206,147.672724
accident,medium,248.332317,132.936475,145.434266
accident,medium,247.637047,128.962261,146.243810
accident,medium,248.213189,140.504527,159.091815
accident,medium,247.940516,139.941151,136.151310
accident,small,250.683027,95.727067,146.326227
accident,small,249.593304,121.638102,138.774541
accident,small,250.174560,139.842793,151.229952
accident,small,249.564626,90.231941,125.949567
accident,small,249.596424,118.636061,139.432542
accident,large,245.572934,124.709929,136.104843
accident,large,244.996458,148.306619,175.586523
accident,large,246.095361,131.496759,116.462568
accident,large,247.796003,127.902928,149.206386
accident,large,247.073258,118.031963,153.920351
accident,medium,249.689100,95.419025,111.816824
accident,medium,251.301356,113.222036,122.318976
accident,medium,250.247673,113.020183,126.764669
accident,medium,250.737814,120.335841,115.190586
accident,medium,250.724737,102.524704,152.073069
accident,medium,247.470892,76.808347,106.166667
accident,medium,248.734058,123.656846,126.341273
accident,medium,248.045689,129.645123,141.633757
accident,medium,248.022324,117.476899,147.985652
accident,medium,248.323680,97.841411,144.470969
accident,large,244.519442,107.329444,182.389519
accident,large,245.465769,104.558536,156.325194
accident,large,246.342593,122.747955,142.403061
accident,large,246.360796,144.886049,113.435925
accident,large,246.613540,120.577523,147.737107
accident,large,244.166048,130.675686,93.265879
accident,large,243.959978,115.002336,157.849825
accident,large,245.736187,151.798479,97.155640
accident,large,245.172457,129.857735,153.413248
accident,large,245.787796,129.282543,149.179293
accident,medium,248.911648,101.940150,138.259213
accident,medium,248.098193,73.020295,134.298585
accident,medium,248.550351,125.280567,138.227895
accident,medium,248.907417,126.276023,153.663132
accident,medium,248.341335,108.899820,150.643504
accident,medium,246.707317,121.104709,150.620250
accident,medium,246.952012,113.261783,154.097581
accident,medium,248.265027,125.437187,156.024117
accident,medium,247.688218,156.118995,110.069495
accident,medium,246.971870,115.941730,143.433618
accident,medium,246.644111,116.395531,156.649659
accident,medium,247.445550,126.837749,131.634233
accident,medium,249.052064,129.801361,109.759864
accident,medium,247.667364,116.224982,143.366661
accident,medium,248.351042,121.792612,140.814113
accident,medium,247.495843,109.487397,124.565844
accident,medium,248.603969,126.206521,144.375302
accident,medium,247.887517,117.423152,143.790874
accident,medium,248.876338,112.799800,144.057700
accident,medium,247.423544,104.497365,137.431267
accident,small,249.578371,103.928775,104.068376
accident,small,250.028334,111.782320,127.680871
accident,small,249.951735,112.600586,113.512017
accident,small,249.899140,118.713477,106.373457
accident,small,248.803438,73.559176,111.137814
accident,small,250.290733,117.997954,109.702067
accident,small,250.651323,131.695851,119.948927
accident,small,250.763603,112.455037,124.221767
accident,small,250.288486,115.773782,108.123183
accident,small,251.099221,119.576032,118.615485
accident,medium,247.180925,134.131726,144.938505
accident,medium,248.398251,110.758375,154.343118
accident,medium,249.249916,149.472795,162.751031
accident,medium,248.037035,124.698795,205.319411
accident,medium,248.226163,79.931866,152.658543
accident,medium,249.419178,85.027395,144.110260
accident,medium,248.005660,97.407972,133.504634
accident,medium,249.628964,80.485591,129.586215
accident,medium,250.305628,110.506277,132.055155
accident,medium,248.238960,113.803828,143.859051
accident,medium,250.373601,103.683599,119.235689
accident,medium,250.204665,117.187923,119.562453
accident,medium,250.664845,109.467362,129.835479
accident,medium,249.633644,139.897436,112.767399
accident,medium,250.236753,131.038744,126.781786
accident,large,247.683686,86.214537,104.862186
accident,large,246.673892,80.124947,104.199872
accident,large,248.103323,152.173395,145.403954
accident,large,246.776691,141.818961,114.616008
accident,large,246.904142,107.718425,159.157007
accident,large,246.796350,107.301964,144.636328
accident,large,248.365331,107.987896,93.175047
accident,large,248.823633,130.277797,141.141066
accident,large,247.092824,81.053900,120.333995
accident,large,249.021959,120.352790,155.886615
accident,small,252.761034,99.843587,144.588325
accident,small,253.382918,92.292038,147.507130
accident,small,252.987250,96.648741,142.206717
accident,small,252.665659,96.451133,137.511084
accident,small,252.279332,93.180470,148.452937
accident,medium,248.733564,74.102313,112.520691
accident,medium,249.194463,126.576265,134.462781
accident,medium,249.636966,119.162822,130.434080
accident,medium,249.211332,112.901245,146.261639
accident,medium,249.967331,107.445924,122.414706
accident,small,251.412476,119.305371,161.793295
accident,small,251.542198,85.091787,153.289165
accident,small,251.662619,97.306248,165.306615
accident,small,252.187625,114.464111,175.206689
accident,small,252.352792,95.323108,166.142127
accident,medium,249.748803,101.989631,118.721171
accident,medium,250.271300,120.259606,138.709323
accident,medium,250.642687,126.385982,134.774709
accident,medium,250.562387,150.760490,115.187647
accident,medium,250.979457,104.325347,125.803839
accident,medium,250.004768,114.917415,97.544584
accident,medium,250.608935,118.144091,150.687820
accident,medium,251.787075,111.707830,151.856635
accident,medium,251.299320,114.574917,148.731031
accident,medium,252.286227,88.877839,142.975463
accident,medium,249.774502,121.425272,127.562309
accident,medium,250.715743,106.288563,154.448332
accident,medium,250.389597,118.125358,154.173832
accident,medium,250.179665,122.684767,155.039643
accident,medium,250.340395,93.019539,129.263653
accident,medium,250.495333,97.276072,144.208010
accident,medium,250.260575,120.079447,132.388844
accident,medium,250.104391,129.588497,140.218875
accident,medium,250.063475,112.527460,144.069000
accident,medium,250.088545,110.304370,128.810487
accident,medium,249.706353,140.300283,106.147089
accident,medium,248.005660,130.421852,125.632176
accident,medium,248.024185,124.668627,147.390010
accident,medium,247.514494,130.952544,172.415380
accident,medium,246.201663,119.032987,118.830189
accident,large,240.581652,128.546513,161.902568
accident,large,238.587789,142.448617,95.836390
accident,large,239.306567,107.017099,169.210870
accident,large,239.148349,161.247423,111.567608
accident,large,240.321597,118.556548,161.826636
accident,medium,247.569005,130.281139,129.557806
accident,medium,246.535843,116.561983,169.745638
accident,medium,246.153964,149.434907,108.157368
accident,medium,245.602671,131.483796,139.468133
accident,medium,245.798388,115.477645,138.708690
accident,small,250.249698,119.852698,137.083423
accident,small,251.645416,110.543034,135.350547
accident,small,251.520694,100.891697,136.318893
accident,small,251.761427,102.577093,147.663730
accident,small,250.728983,114.394767,159.234357
accident,medium,247.743662,181.810235,110.640941
accident,medium,247.354626,114.865629,131.910611
accident,medium,246.369508,117.322754,153.128418
accident,medium,247.582467,120.649867,143.678711
accident,medium,248.121305,152.853968,129.678413
accident,medium,249.043585,138.326609,137.896962
accident,medium,250.082975,148.506889,104.226327
accident,medium,249.307730,108.733862,99.955497
accident,medium,248.383991,128.274380,130.350699
accident,medium,248.588057,137.592464,141.189420
accident,medium,246.672914,139.009265,150.086002
accident,medium,246.258146,109.145612,149.445257
accident,medium,246.279562,105.713803,127.956271
accident,medium,249.332767,101.606552,133.615632
accident,medium,248.127403,128.985251,89.477072
accident,small,250.410017,108.437995,135.948989
accident,small,251.438190,120.022375,149.474030
accident,small,251.662619,114.950834,142.188081
accident,small,251.766536,110.465116,145.059432
accident,small,251.912310,79.075000,140.033333
accident,medium,249.714694,100.396988,159.701273
accident,medium,249.310109,100.887518,155.004828
accident,medium,250.191763,117.723883,149.291631
accident,medium,249.168674,117.134424,155.878380
accident,medium,249.360108,126.224901,150.500423
accident,large,243.178304,125.701844,145.615507
accident,large,243.318772,108.966904,118.896334
accident,large,243.538504,115.959287,153.569978
accident,large,243.665256,128.923088,174.635958
accident,large,245.521290,109.399874,150.816682
accident,medium,247.219211,138.702915,149.179891
accident,medium,248.845628,118.080566,139.768497
accident,medium,249.256465,111.696127,113.684124
accident,medium,248.343915,128.815312,112.155585
accident,medium,249.120876,137.463346,147.563006
accident,medium,248.283437,129.152242,132.460624
accident,medium,244.897541,114.396187,137.957247
accident,medium,246.467314,128.260513,136.785921
accident,medium,246.894242,123.966546,149.020327
accident,medium,247.585914,118.621882,148.908611
accident,large,240.108962,128.569897,145.683563
accident,large,242.235377,127.591889,154.763237
accident,large,245.129781,163.001165,114.625582
accident,large,245.245902,145.545166,115.214481
accident,large,245.198593,195.261707,119.907950
accident,medium,249.766094,114.679820,134.089039
accident,medium,250.743274,130.900358,122.572401
accident,medium,250.862503,106.838270,134.022806
accident,medium,250.628499,108.057868,134.762056
accident,medium,251.350779,98.655892,97.790236
accident,medium,250.751487,110.709695,123.951796
accident,medium,250.811106,115.424276,110.462413
accident,medium,249.447546,128.044697,165.225568
accident,medium,250.597859,124.688832,143.067768
accident,medium,249.852004,97.399807,186.043353
accident,medium,248.059570,87.321499,89.101578
accident,medium,250.617537,110.970807,127.607488
accident,medium,249.904232,107.815496,125.607930
accident,medium,250.290733,130.229497,103.314678
accident,medium,250.707071,102.939328,134.850868
accident,small,252.218709,113.539228,112.458171
accident,small,252.496964,102.246526,126.248239
accident,small,252.607580,108.016931,132.564444
accident,small,251.636814,111.080070,131.445605
accident,small,251.149373,115.429331,127.302967
accident,medium,250.132741,114.644567,132.332142
accident,medium,250.639041,109.508145,130.714716
accident,medium,250.092846,114.015783,130.829054
accident,medium,250.098615,122.452877,128.430402
accident,medium,249.140688,111.871538,132.065043
accident,medium,249.731758,122.804329,123.451549
accident,medium,250.634740,108.432336,130.899463
accident,medium,250.068333,111.375665,126.404980
accident,medium,250.763920,97.626906,120.738834
accident,medium,250.780877,108.204908,121.352140
accident,medium,250.759811,104.179739,111.031373
accident,medium,249.950921,123.930090,120.500110
accident,medium,249.383222,116.434628,119.116306
accident,medium,249.247801,138.960888,98.391854
accident,medium,249.437746,122.838693,120.460791
accident,small,253.015944,101.855136,126.644622
accident,small,252.023882,116.546929,133.902888
accident,small,252.269024,95.214286,125.113011
accident,small,251.761905,128.332913,107.629910
accident,small,250.062740,91.782711,113.086184
accident,large,247.552357,125.575021,146.096980
accident,large,248.471463,119.159271,155.407515
accident,large,247.257024,151.250441,120.105379
accident,large,248.240954,103.120997,129.275873
accident,large,247.459991,151.145146,109.311165
accident,medium,250.819532,109.123864,107.755303
accident,medium,249.429203,138.683361,67.341270
accident,medium,249.581056,126.379678,96.907334
accident,medium,249.130282,121.793237,104.029952
accident,medium,249.390337,121.340654,102.436112
accident,small,250.232164,154.835828,100.289920
accident,small,251.817250,131.408847,68.100983
accident,small,250.646215,115.821622,86.966066
accident,small,252.036684,114.798668,88.386921
accident,small,252.008657,108.492997,58.574230
accident,medium,248.187544,135.749216,100.279510
accident,medium,248.211286,162.785420,92.155644
accident,medium,247.377811,116.908635,88.903601
accident,medium,247.180819,163.760303,65.033081
accident,medium,248.232993,152.534191,65.338885
accident,medium,248.977525,150.625770,71.833333
accident,medium,248.326446,125.222974,104.226792
accident,medium,248.283083,140.547115,89.051137
accident,medium,248.961545,131.907862,112.137707
accident,medium,249.237068,147.502107,96.371612
accident,large,243.682877,97.206195,155.426602
accident,large,242.991967,101.845101,61.512498
accident,large,242.942468,103.267552,126.581023
accident,large,245.753992,98.986208,123.451678
accident,large,245.977029,63.719743,100.617080
accident,large,246.817364,166.421261,81.074922
accident,large,246.531826,125.253923,49.192718
accident,large,246.484517,69.690903,100.035125
accident,large,246.950467,175.639433,36.862128
accident,large,243.975004,169.510095,152.719238
accident,medium,247.317324,134.713444,108.588950
accident,medium,246.553329,79.693653,86.958191
accident,medium,247.325989,85.854793,87.366225
accident,medium,248.670032,154.229135,112.595445
accident,medium,250.102881,120.938600,135.030850
accident,medium,248.975910,133.903115,114.840413
accident,medium,249.847703,71.667694,112.552645
accident,medium,249.354844,132.031133,99.332015
accident,medium,248.810555,145.454938,62.609138
accident,medium,248.191915,142.478911,78.296480
accident,medium,249.650708,141.044444,105.009596
accident,medium,249.097857,113.664810,108.057654
accident,medium,250.312184,151.522040,76.127869
accident,medium,249.727387,137.767173,112.902627
accident,medium,249.073568,122.122302,116.472022
accident,small,252.269899,100.837838,83.624625
accident,small,252.797592,132.636198,87.549341
accident,small,252.508256,120.854816,95.527148
accident,small,251.476581,133.649100,109.614617
accident,small,251.238632,104.550343,107.037757
accident,medium,248.857272,107.588157,116.513307
accident,medium,249.360108,136.044651,73.520774
accident,medium,249.993928,114.585269,119.723049
accident,medium,250.556277,140.149381,107.642908
accident,medium,248.068892,160.191655,92.085809
accident,medium,247.419196,101.838403,138.360038
accident,medium,247.397457,86.780812,146.239496
accident,medium,247.624216,114.247504,114.163867
accident,medium,248.230202,81.561268,150.433590
accident,medium,248.385448,106.953930,153.871003
accident,small,252.261367,101.301676,99.076350
accident,small,252.508214,104.262432,111.406450
accident,small,252.509866,121.873629,94.073438
accident,small,252.091711,99.773880,103.277643
accident,small,252.096043,89.727273,121.172559
accident,large,240.940448,108.598927,126.928369
accident,large,243.628820,125.081656,129.923304
accident,large,241.595539,117.565468,131.016904
accident,large,243.431582,123.098263,102.558089
accident,large,241.738048,87.846861,128.836782
accident,large,240.479308,109.118265,139.046758
accident,large,240.936183,130.887392,110.820052
accident,large,242.936400,130.851563,135.871762
accident,large,243.623835,132.342885,137.157783
accident,large,243.766444,128.918011,105.094758
accident,small,251.248750,109.679777,132.705280
accident,small,251.757235,92.050294,124.016051
accident,small,252.087428,123.983158,106.938246
accident,small,251.229174,100.945305,121.492252
accident,small,250.638294,93.988004,130.100288
accident,medium,247.065643,109.316587,130.109794
accident,medium,249.434831,102.323681,166.992921
accident,medium,248.399597,124.650783,127.777279
accident,medium,249.279584,106.048780,158.379404
accident,medium,250.150384,103.389199,134.139665
accident,medium,249.285750,115.896341,114.128049
accident,medium,249.391824,109.000000,100.808547
accident,medium,248.271745,86.422168,121.768473
accident,medium,248.712270,133.132226,94.510763
accident,medium,247.801026,113.973867,121.247501
accident,medium,247.611663,98.516811,105.684918
accident,medium,248.338140,123.788565,105.836030
accident,medium,246.544480,101.233010,118.011327
accident,medium,247.906672,117.326652,106.159614
accident,medium,247.905826,96.499136,136.545769
accident,medium,249.945830,111.445330,127.053831
accident,medium,249.046271,125.100887,115.746388
accident,medium,250.006831,97.931856,109.485321
accident,medium,249.239103,64.276253,116.424991
accident,medium,249.436537,70.351116,108.782605
accident,medium,247.166134,115.246313,138.461283
accident,medium,248.891603,102.291836,123.721899
accident,medium,247.812920,97.931296,129.595045
accident,medium,248.092263,79.213163,160.850106
accident,medium,246.652247,85.777778,166.719349
accident,medium,247.620702,79.500765,152.262997
accident,medium,248.506786,96.773547,118.956023
accident,medium,248.966049,82.825824,130.216095
accident,medium,248.737969,92.950558,142.655502
accident,medium,248.535284,96.087097,109.246237
accident,medium,248.635727,127.078405,138.961328
accident,medium,248.651668,115.722741,135.789720
